A	nida.;
ACIDİLLİLİK	is.;
ACIDIRTDIR	f.;
ACIİSTİOT	is.;
AÇIL	f.;
ACILA	f.;
AÇILACAQ	is.;
ACILAMA	f.;
ACILAMAQ	f.;
ACILAN	f.;
AÇILAN	is.;
ACILANDIR	f.;
ACILANDIRMA	f.;
ACILANMA	f.;
ACILAŞ	f.;
ACILAŞDIR	f.;
ACILAŞDIRIL	f.;
ACILAŞDIRILMA	f.;
ACILAŞDIRILMAQ	f.;
ACILAŞDIRMA	f.;
ACILAŞDIRMAQ	f.;
ACILAŞMA	f.;
ACILAŞMAQ	f.;
ACILAT	f.;
ACILATMA	f.;
ACILATMAQ	f.;
ACILI	sif.;
AÇILIB-ÖRTÜL	f.;
AÇILIB-ÖRTÜLƏN	f_sif.;
AÇILIB-YIĞIL	f.;
AÇILIB-YIĞILAN	f_sif.;
AÇILIB-YIĞILMA	f.;
ACILICA	sif.;
ACILIQ	is.;
ACILIQKİMİ	sif.;
ACILIQOTU	is.;
AÇILIŞ	is.;
ACILI-ŞİRİNLİ	sif.;
AÇILIŞMA	f.;
AÇILIŞMAQ	f.;
AÇILMA	f.;
AÇILMAQ	f.;
AÇILMAZ	f.;
AÇIM	is.;
ACIMA	f.;
ACIMAQ	f.;
ACIMIŞ	f.;
ACIMSOV	sif.;
ACIMSOV, ACIMTIL, ACIMTRAQ	sif.;
ACIMSOVLUQ	is.;
ACIMTIL	sif.;
ACIMTILLIQ	is.;
ACIMTILLIQ, ACIMTRAQLIQ	is.;
ACIMTIL-ŞİRİN	sif.;
ACIMTRAQ	sif.;
ACIMTRAQLIQ	is.;
ACIN	f.;
ACINACAQ	is.;
ACINACAQLI	sif.;
ACINACAQLI	sif.;
ACINDIR	f.;
ACINDIRICI	sif.;
ACINDIRMA	f.;
ACINDIRMAQ	f.;
ACINMA	f.;
ACINMAQ	f.;
ACIOTU	is.;
ACIPAXLA	is.;
ACIPENCƏR	is.;
ACIQ	is.;
AÇIQ	sif.;
AÇIQ-AÇIĞINA	zer.;
ACIQARPIZ	is.;
AÇIQ-AŞKAR	zer.;
AÇIQ-AYDIN	sif.;zer.;
AÇIQBƏNİZ	is.;
AÇIQ-BƏNÖVŞƏYİ	sif.;
AÇIQ-BOZ	sif.;
ACIQCA	zer.;
AÇIQCA	zer.;
AÇIQCASINA	zer.;
AÇIQDAN	zer.;
AÇIQDAN-AÇIĞA	zer.;
ACIQDIR	f.;
ACIQDIRMA	f.;
ACIQDIRMAQ	f.;
AÇIQFİKİRLİ	sif.;
AÇIQFİKİRLİLİK	is.;
AÇIQGƏZƏN	sif.;
AÇIQGÖZ	is.;
AÇIQGÖZLÜ	sif.;
AÇIQGÖZLÜ	is.;
AÇIQGÖZLÜLÜK	is.;
ACIQICI	is.;
AÇIQLA	f.;
ACIQLA	zer.;
AÇIQLAMA	f.;
ACIQLAN	f.;
AÇIQLAN	f.;
ACIQLANDIR	f.;
ACIQLANDIRMA	f.;
ACIQLANDIRMAQ	f.;
ACIQLANMA	f.;
ACIQLANMAQ	f.;
ACIQLI	sif.;zer.;
ACIQLI-ACIQLI	sif.;
ACIQLILIQ	is.;
AÇIQLIQ	is.;
ACIQMAQ	f.;
AÇIQ-ÖRTÜLÜ	sif.;
ACIQOVUN	is.;
ACIQOVUQ	is.;
AÇIQ-QARA	sif.;
AÇIQ-QƏHVƏYİ	sif.;
AÇIQQƏLBLİ	sif.;
AÇIQQƏLBLİLİK	is.;
ACIQ-QICIQ	is.;
AÇIQ-QIRMIZI	sif.;
AÇIQRAQ	sif.;
AÇIQRƏNGLİ	sif.;
AÇIQ-SAÇIQ	sif.;zer.;
AÇIQ-SAÇIQLIQ	is.;
AÇIQ-SARI	sif.;
AÇIQTƏHƏR	sif.;
AÇIQTİPLİ	sif.;
AÇIQÜRƏKLİ	sif.;
AÇIQÜRƏKLİLİK	is.;
AÇIRIM	is.;
ACIŞ	f.;
AÇIŞ	is.;
ACIŞDIR	f.;
ACIŞDIRICI	sif.;
ACIŞDIRMA	f.;
ACIŞDIRMAQ	f.;
ACIŞMA	f.;
ACIŞMAQ	f.;
ACIT	f.;
ACITDIR	f.;
ACITDIRMA	f.;
ACITƏHƏR	sif.;
ACITƏRƏ	is.;
ACITMA	is.;
ACITMALI	f.;
ACITMALIQ	sif.;
ACITMAQ	f.;
ACITMASIZ	sif.;
ACIVAR	is.;
ACIX	is.;
ACIXƏMRƏ	is.;
ACIXMA	is.;
ACIYONCA	is.;
ACIYOVŞAN	is.;
ACİZ	sif.;
ACİZ-ACİZ	sif.;
ACİZANƏ	zer.;
ACİZ-AVARA	sif.;
ACİZCƏ	zer.;
ACİZCƏSİNƏ	zer.;
ACI-ZƏHRİMAR	is.;
ACİZLƏN	zer.;
ACİZLƏNMƏ	f.;
ACİZLƏŞ	f.;
ACİZLƏŞDİR	f.;
ACİZLƏŞDİRMƏ	f.;
ACİZLƏŞDİRMƏK	f.;
ACİZLƏŞMƏ	f.;
ACİZLƏŞMƏK	f.;
ACİZLİK	is.;
ACİZ-ZAVALLI	sif.;
AC-LƏLÖYÜN	is.;
ACLIQ	is.;
ACMA	f.;
AÇMA	f.;
ACMAQ	f.;
AÇMAQ	f.;
AÇMA-YIĞMA	is.;
AÇMA-YUMMA	is.;
ACQARINA	zer.;
ACQURSAQ	sif.;
AC-SUSUZ	sif.;zer.;
AÇUN	is.;
AC-ÜRYAN	is.;
AC-YALAVAC	sif.;zer.;
AC-YORĞUN	is.;
AD	is.;
ADINA	is.;
ADA	is.;
ADAB	is.;
ADAÇAYI	is.;
ADACIQ	is.;
ADADOVŞANI	is.;
ADADOVŞANIÇILIQ	is.;
ADAJİO	is.;
ADALI	is.;
ADALMA	f.;
ADAM	is.;
ADAM-ADAMYANA	zer.;
ADAMAĞILLI	sif.;
ADAMALDADAN	sif.;
ADAMAOXŞAMAZ	sif.;
ADAMAOXŞAMAZLIQ	is.;
ADAMAOXŞAR	sif.;
ADAMAPTOBLAST	is.;
ADAMAYOVUŞAN	sif.;
ADAMAYOVUŞMAZ	sif.;
ADAMAYOVUŞMAZLIQ	is.;
ADAMBAŞI	is.;
ADAMBAŞINA	zer.;
ADAMBAŞINA	is.;
ADAMBOYU	sif.;
ADAMCASINA	zer.;
ADAMCIĞAZ	is.;
ADAMCIL	sif.;
ADAMCILLIQ	is.;
ADAMCIQ	is.;
ADAMDANQAÇAN	sif.;
ADAMGÜLDÜRƏN	f.;
ADAM-GÜN	is.;
ADAMİNCİDƏN	f.;
ADAMKÖKÜ	is.;
ADAMLI	sif.;
ADAMLIQ	is.;
ADAMÖLDÜRMƏ	f.;
ADAMOYNADAN	sif.;
ADAMSATAN	is.;
ADAMSEVMƏZ	sif.;
ADAMSEVMƏZLİK	sif.;
ADAMSİT	is.;
ADAMSIZ	sif.;
ADAMSIZLIQ	sif.;
ADAMTANIYAN	sif.;
ADAMYANA	zer.;
ADAMYEYƏN	sif.;
ADAMYOXLAYAN	sif.;
ADAPTASİYA	is.;
ADAPTER	is.;
ADAPTİV	sif.;
ADAPTOMETR	is.;
ADAQ	is.;
ADAQLAMAQ	f.;
ADAQLANMAQ	f.;
ADAQLI	is.;sif.;
ADAŞ	is.;
ADAŞLIQ	is.;
ADAT	is.;
ADATLILAR	is.;
ADAX	is.;
ADAXLA	f.;
ADAXLAMA	f.;
ADAXLAMAQ	f.;
ADAXLAN	f.;
ADAXLANDIR	f.;
ADAXLANDIRMA	f.;
ADAXLANDIRMAQ	f.;
ADAXLANMA	f.;
ADAXLANMAQ	f.;
ADAXLI	is.;sif.;
ADAXLIBAZLIQ	is.;
ADAXLILIQ	is.;
ADBAAD	zer.;
ADDA	f.;
ADDA-BUDDA	zer.;
ADDA-BUDDALIQ	is.;
ADDAMA	f.;
ADDAMAQ	f.;
ADDAN	f.;
ADDANMA	f.;
ADDAT	f.;
ADDATMA	f.;
ADDƏYİŞMƏ	is.;
ADDIM	is.;
ADDIM-ADDIM	sif.;
ADDIMBAADDIM	zer.;
ADDIMBAŞI	zer.;
ADDIMLA	f.;
ADDIMLAMA	f.;
ADDIMLAMAQ	f.;
ADDIMLAT	f.;
ADDIMLATMA	f.;
ADDIMLATMAQ	f.;
ADDIMLAYAN	f_sif.;
ADDIMLI	sif.;
ADDIMLIQ	is.;
ADDIMÖLÇƏN	is.;
ADDİSON	is.;
ADDİTİVLİK	is.;
ADƏ	nida.;
ADEKVAT	sif.;
ADƏM	is.;
ADƏMAĞACI	is.;
ADƏMDƏNQALMA	sif.;
ADƏMİYYƏT	is.;
ADENİL	is.;
ADENOİDLƏR	is.;
ADENOKARSİNOMA	is.;
ADENOMA	is.;
ADENOVİRUS	is.;
ADENOZİNFOSFAT	is.;
ADENOZİNTRİFOSFAT	is.;
ADƏT	is.;
ADƏTA	zer.;
ADƏTCƏ	zer.;
ADƏTDƏNKƏNAR	sif.;
ADƏTDƏNXARİC	sif.;
ADƏTƏN	zer.;
ADƏTİNCƏ	zer.;
ADƏTKƏR	sif.;
ADƏTKƏRDƏ	sif.;
ADƏTKƏRDƏLİK	is.;
ADƏTSİZ	sif.;
ADHEZİYA	is.;
ADI	ed.;
ADİ	sif.;
ADİABAT	is.;
ADİABATİK	is.;
ADİATIMLI	sif.;
ADIBATMIŞ	sif.;
ADIBƏDNAM	sif.;
ADIBƏDNAMLIQ	is.;
ADIBİLİNMƏZ	sif.;
ADİCƏ	zer.;
ADIÇƏKİLƏN	f_sif.;
ADIGEDƏN	f_sif.;
ADIGEY	is.;
ADIGEYCƏ	zer.;
ADİL	sif.;
ADİLANƏ	zer.;
ADİLƏŞ	f.;
ADİLƏŞDİR	f.;
ADİLƏŞDİRİL	f.;
ADİLƏŞDİRİLMƏ	f.;
ADİLƏŞDİRİLMƏK	f.;
ADİLƏŞDİRMƏ	f.;
ADİLƏŞDİRMƏK	f.;
ADİLƏŞMƏ	f.;
ADİLƏŞMƏK	f.;
ADİLİK	is.;
ADİLLİK	is.;
ADINA	is.;
ADINALIQ	is.;
ADİNƏ	is.;
ADIQ	is.;
ADIVAYQANLI	is.;
ADLA	f.;
ADLAMA	f.;
ADLAMAQ	f.;
ADLAN	f.;
ADLANDIR	f.;
ADLANDIRIL	f.;
ADLANDIRILMA	f.;
ADLANDIRILMAQ	f.;
ADLANDIRMA	f.;
ADLANDIRMAQ	f.;
ADLANMA	f.;
ADLANMANC	is.;
ADLANMAQ	f.;
ADLI	sif.;
ADLIQ	is.;
ADLI-SANLI	sif.;
ADLI-SANLILIQ	is.;
ADMİNİSTRASİYA	is.;
ADMİRAL	is.;
ADMİRALİTET	is.;
ADMİRALLIQ	is.;
ADMİRAL-MÜHƏNDİS	is.;
ADONİS	is.;
ADQOYDU	is.;
ADQOYDU, ADQOYMA	is.;
ADQOYMA	f.;
ADRENALİN	is.;
ADRES	is.;
ADRESAT	is.;
AD-SAN	is.;
ADSIZ	sif.;
ADSIZLIQ	is.;
ADSIZ-SANSIZ	sif.;
ADSORBENT	is.;
ADSORBER	is.;
ADSORBSİYA	is.;
ADSORBSİYAEDİCİ	is.;
ADSTRAT	is.;
ADVEKSİYA	is.;
ADVENTİV	sif.;
ADVERMƏ	f.;
ADVOKAT	is.;
ADVOKATLIQ	is.;
ADYAL	is.;
ADYUNKT	is.;
ADYUTANT	is.;
ADYUTANTLIQ	is.;
AERODİNAMİK	sif.;
AERODİNAMİKA	is.;
AERODROM	is.;
AEROFOTOQRAFİYA	is.;
AEROKLUB	is.;
AEROLOGİYA	is.;
AERONAVT	is.;
AERONAVTİKA	is.;
AEROPLAN	is.;
AEROPORT	is.;
AEROSƏPİN	is.;
AEROSTAT	is.;
AEROXİZƏK	is.;
AFAQ	is.;
AFAQİ	sif.;
AFARLAR	is.;
AFAT	is.;
AFAZİYA	is.;
AFƏR	is.;
AFƏRİN	nida.;
AFƏT	is.;
AFƏTZƏDƏ	is.;
AFFAYI	zer.;
AFFEKT	is.;
AFFİKS	is.;
AFFİNAJ	is.;
AFFRİKAT	is.;
AFİN	is.;
AFİŞA	is.;
AFİYƏT	is.;
AFONİYA	is.;
AFORİZM	is.;
AFORİZMLİ	sif.;
AFRİKAANS	is.;
AFRİKALI	sif.;
AFRİKANTROP	is.;
AFRİKANYOR	is.;
AFŞAR	is.;
AFTA	is.;
AFTAB	is.;
AFTABA	is.;
AFTAFA	is.;
AFTAFA-LƏYƏN	is.;
AĞ	is.;
AĞ	sif.;
AĞA	is.;
AĞABACI	is.;
AĞABANI	is.;
AĞA-BƏY	is.;
AĞAC	is.;
AĞACABƏNZƏR	sif.;
AĞAC-AĞAC	is.;
AĞAÇALAR	is.;
AĞACAN	is.;
AĞACAOXŞAR	sif.;
AĞACASINA	zer.;
AĞACATMA	is.;
AĞACAYAQ	sif.;
AĞACBASDIRAN	f_sif.;
AĞAC-BƏLƏK	is.;
AĞACBİÇMƏ	f.;
AĞACCİLALAYAN	f_sif.;
AĞACDƏLƏN	is.;
AĞACDƏLƏNKİMİLƏR	is.;
AĞACDEŞƏN	f_sif.;
AĞACDEŞƏN, AĞACDƏLƏN	is.;
AĞACDOĞRAMA	f.;
AĞACDOĞRAYAN	sif.;
AĞACƏRİ	is.;
AĞACGƏMİRƏN	is.;
AĞACİŞLƏMƏ	f.;
AĞACKƏPƏNƏYİ	is.;
AĞAC-KÖMÜR	is.;
AĞACLA	f.;
AĞACLAMA	f.;
AĞACLAMAQ	f.;
AĞACLAN	f.;
AĞACLANMA	f.;
AĞACLAŞ	f.;
AĞACLAŞMA	f.;
AĞACLAŞMAQ	f.;
AĞACLI	sif.;
AĞACLİFLİ	sif.;
AĞACLIQ	is.;
AĞACMİŞARLAYAN	sif.;
AĞACOVAN	is.;
AĞACQIRAN	is.;
AĞACQURBAĞASI	is.;
AĞACQURDU	is.;
AĞACSAQQIZI	is.;
AĞACŞƏKİLLİ	is.;
AĞACTƏMİZLƏYƏN	is.;
AĞAC-UĞAC	is.;
AĞACVARI	sif.;
AĞACVARİ	sif.;
AĞACYONAN	is.;
AĞAC-YONQAR	is.;
AĞACYONQARLI	sif.;
AĞADADAŞ	is.;
AĞADAYI	is.;
AĞADOSTU	is.;
AĞAƏMİ	is.;
AĞAGÖRMƏZ	sif.;
AGAH	is.;
AGAHLIQ	is.;
AĞ-ALA	sif.;
AĞALAN	f.;
AĞALANMA	f.;
AĞALANMAQ	f.;
AĞALIQ	is.;
AĞANƏNƏ	is.;
AĞA-NÖKƏR	is.;
AĞAPPAQ	sif.;
AĞAR	f.;
AĞARAN	f.;
AĞARANTI	is.;
AĞARDICI	is.;sif.;
AĞARDIL	f.;
AĞARDILMA	f.;
AĞARDILMAQ	f.;
AĞARDILMIŞ	f.;
AĞARINTI	is.;
AĞARIŞ	f.;
AĞARIŞMA	f.;
AĞARIŞMAQ	f.;
AĞARMA	f.;
AĞARMAQ	f.;
AĞARMIŞ	f.;
AĞART	f.;
AĞARTDIR	f.;
AĞARTDIRMA	f.;
AĞARTDIRMAQ	f.;
AĞARTI	is.;
AĞARTMA	f.;
AĞARTMAQ	f.;
AĞ-AŞKAR	sif.;
AĞATƏBİƏTLİ	sif.;
AĞA-XANIM	is.;
AĞAYANA	sif.;zer.;
AĞAYIL	sif.;
AĞBAĞIR	is.;
AĞBALIQ	is.;
AĞ-BAN	is.;
AĞBAŞ	sif.;
AĞBAŞLI	sif.;
AĞBƏDƏN	is.;
AĞBƏDƏNLİ	sif.;
AĞBƏNİZ	sif.;
AĞBƏNİZLİ	sif.;
AĞ-BƏNÖVŞƏYİ	sif.;
AĞBƏXT	sif.;
AĞBƏXTLİ	sif.;
AĞBƏXTLİK	is.;
AĞBIĞ	is.;
AĞBIĞLI	sif.;
AĞBİRÇƏK	is.;sif.;
AĞBİRÇƏKLİ	sif.;
AĞBİRÇƏKLİK	is.;
AĞBİRÇƏK-QARABİRÇƏK	sif.;
AĞBOĞAZ	is.;
AĞ-BOZ	sif.;
AĞBUĞDA	is.;
AĞBULAQ	is.;
AĞBUTA	is.;
AĞBUTALI	sif.;
AĞCA	is.;
AĞÇAĞ	is.;
AĞCALI	sif.;
AĞCALIQ	is.;
AĞCAMATAN	sif.;
AĞCAMAYA	is.;
AĞCAQANAD	is.;
AĞCAQAYIN	is.;
AĞCAQAYINLIQ	is.;
AĞCAQOVAQ	is.;
AĞCAQOVAQLIQ	is.;
AĞCASIZ	sif.;
AĞCAVAZA	sif.;
AĞ-ÇƏHRAYI	sif.;
AĞÇƏTİR	is.;
AĞÇİÇƏKLİ	sif.;
AĞÇİL	is.;
AĞCİYƏR	sif.;
AĞCİYƏRLİK	is.;
AĞCİYƏR-MƏDƏ	is.;
AĞÇOĞAN	is.;
AĞÇUBUQ	is.;
AĞDABAN	is.;
AĞDAM	is.;
AĞDAMAR	is.;
AĞDAŞ	is.;
AĞDƏRİLİ	sif.;
AĞDİŞ	is.;
AGƏH	is.;
AĞƏLDƏRƏ	is.;
AGENT	is.;
AGENT-BANK	is.;
AGENTLİK	is.;
AGENTURA	is.;
AĞGİLƏ	is.;
AĞGÖVDƏ	is.;
AĞGÖVDƏLİ	sif.;
AĞGÖZ	sif.;
AĞGÖZCÜK	is.;
AĞGÖZLÜK	is.;
AĞGÖZLÜLÜK	is.;
AĞGÜN	is.;
AĞGÜNLÜ	sif.;
AĞGÜNLÜ	sif.;
AĞGÜNLÜLÜK	is.;
AĞI	is.;
AĞIÇI	is.;
AĞIÇILIQ	is.;
AĞIL	is.;
AĞILA	f.;
AĞILAMA	f.;
AĞILAMAQ	f.;
AĞILAN	f.;
AĞILANMA	f.;
AĞILANMAQ	f.;
AĞILÇATMAZ	sif.;
AĞILÇATMAZLIQ	is.;
AĞILDANKƏM	sif.;
AĞILDANYÜNGÜL	sif.;
AĞIL-FƏHM	is.;
AĞILI	sif.;
AĞILKƏSƏN	sif.;
AĞILKƏSMƏZ	sif.;
AĞILLAN	f.;
AĞILLANDIR	f.;
AĞILLANDIRIL	f.;
AĞILLANDIRILMA	f.;
AĞILLANDIRILMAQ	f.;
AĞILLANDIRMA	f.;
AĞILLANDIRMAQ	f.;
AĞILLANMA	f.;
AĞILLANMAQ	f.;
AĞILLI	sif.;
AĞILLI-AĞILLI	sif.;
AĞILLI-BAŞLI	sif.;
AĞILLICA	zer.;
AĞILLI-KAMALLI	sif.;
AĞILLILIQ	is.;
AĞILSIZ	sif.;
AĞILSIZCA	zer.;
AĞILSIZCASINA	zer.;
AĞILSIZLAŞ	f.;
AĞILSIZLAŞMA	f.;
AĞILSIZLAŞMAQ	f.;
AĞILSIZLIQ	is.;
AĞILUMULMAZ	sif.;
AĞILYANA	zer.;
AĞIMSOV	sif.;
AĞIMSOVLUQ	sif.;
AĞIMTIL	sif.;
AĞIMTILLIQ	is.;
AĞIMTRAQ	sif.;
AĞIMTRAQLIQ	is.;
AĞIR	sif.;
AĞIR-AĞIR	sif.;
AĞIRAYAQ	sif.;
AĞIRAYAQLI	sif.;
AĞIRBAŞLI	sif.;
AĞIRD	f.;
AĞIREŞİDƏN	f_sif.;
AĞIREŞİTMƏ	is.;
AĞIR-ƏZİZ	is.;
AĞIRGÖVDƏ	is.;
AĞIRGÖVDƏLİ	sif.;
AĞIRGÖVDƏLİLİK	is.;
AĞIRLA	f.;
AĞIRLAMA	f.;
AĞIRLAMAQ	f.;
AĞIRLAŞ	f.;
AĞIRLAŞDIR	f.;
AĞIRLAŞDIRICI	sif.;
AĞIRLAŞDIRIL	f.;
AĞIRLAŞDIRILMA	f.;
AĞIRLAŞDIRILMAQ	f.;
AĞIRLAŞDIRILMIŞ	f_sif.;
AĞIRLAŞDIRMA	f.;
AĞIRLAŞDIRMAQ	f.;
AĞIRLAŞMA	f.;
AĞIRLAŞMAQ	f.;
AĞIRLAT	f.;
AĞIRLATMA	f.;
AĞIRLIQ	is.;
AĞIRLIQÇI	is.;
AĞIRLIQQALDIRAN	is.;
AĞIRLIQQALDIRMA	f.;
AĞIRLIQSAXLAYAN	f.;
AĞIRLI-YÜNGÜLLÜ	sif.;
AĞIRSANBAL	is.;
AĞIRSANBALLI	sif.;
AĞIRSƏNGİN	sif.;
AĞIR-SƏNGİN	sif.;
AĞIR-SƏNGİNLİK	is.;
AĞIRSI	is.;
AĞIRSIMA	f.;
AĞIRSIMAQ	f.;
AĞIRTAXTALI	sif.;
AĞIRTƏBİƏT	is.;
AĞIRTƏBİƏTLİ	sif.;
AĞIRTƏBİƏTLİ	sif.;
AĞIRTƏBİƏTLİLİK	is.;
AĞIRTƏHƏR	is.;
AĞIRTƏRPƏNƏN	sif.;
AĞIRTƏRPƏNİŞLİ	sif.;
AĞIRXASİYYƏT	is.;
AĞIRXASİYYƏTLİ	sif.;
AĞIRXASİYYƏTLİ	sif.;
AĞIRXASİYYƏTLİLİK	is.;
AĞIRYANA	sif.;
AĞIRYANALIQ	is.;
AĞIRYÜKLÜ	sif.;
AĞIR-YÜNGÜL	is.;
AĞIR-YÜNGÜLLÜK	is.;
AĞIRZƏHMLİ	sif.;
AĞIZ	is.;
AĞIZAALINMAZ	sif.;
AĞIZABAXAN	sif.;
AĞIZ-AĞIZ	is.;
AĞIZ-AĞIZA	sif.;
AĞIZBAAĞIZ	zer.;
AĞIZ-BURUN	is.;
